From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;15980;sea;3590;-1;-1;-1;-1;;West Scottish-Strait(1)
6062;15978;sea;3590;-1;-1;-1;-1;;West Scottish-Strait(2)
6205;15980;sea;3590;-1;-1;-1;-1;;West Scottish-Strait(3)
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
13208;10791;sea;2691;-1;-1;-1;-1;;Bahrain-Saudi
13208;8051;sea;2691;-1;-1;-1;-1;;Bahrain-Qatar
7683;13225;sea;8642;-1;-1;-1;-1;;Anticosti Island
7810;12698;sea;2935;-1;-1;-1;-1;;Newfundland
11064;13224;sea;3195;-1;-1;-1;-1;;Orkney Island
13287;13288;sea;2871;-1;-1;-1;-1;;Channel Islands
13302;7463;sea;5960;-1;-1;-1;-1;;Rupat-Sumatra
13301;1277;sea;5960;-1;-1;-1;-1;;Bengkails Island
13300;12168;sea;5960;-1;-1;-1;-1;;Rangsang Island
13300;13301;sea;5960;-1;-1;-1;-1;;Bengkails-Rangsang
13298;1345;sea;5615;-1;-1;-1;-1;;Lingga Islands
11106;13012;sea;2597;-1;-1;-1;-1;;Grenada-Tobago
13802;7123;sea;5533;-1;-1;-1;-1;;Marie-Galante-Dominica
13802;9377;sea;5533;-1;-1;-1;-1;;Marie-Galante-Guadeloupe
13808;4450;sea;2887;-1;-1;-1;-1;;Montserrat-Antigua
4450;13816;sea;2887;-1;-1;-1;-1;;Montserrat-Nevis
9377;13808;sea;2887;-1;-1;-1;-1;;Guadeloupe-Antigua
13816;13821;sea;2887;-1;-1;-1;-1;;Nevis-St Kitts
13804;13808;sea;2887;-1;-1;-1;-1;;Antigua-Barbuda
13806;153;sea;2571;-1;-1;-1;-1;;Curacao-Aruba
13817;13806;sea;2571;-1;-1;-1;-1;;Curacao-Bonaire
13829;4641;sea;5658;-1;-1;-1;-1;;Haiti
13825;4965;sea;5840;-1;-1;-1;-1;;Cozumel-Yucatan
12446;4576;sea;4465;-1;-1;-1;-1;;Sakhalin
1399;4728;sea;5488;-1;-1;-1;-1;;Kurils
13679;4598;sea;5814;-1;-1;-1;-1;;Turneffe-Belize
13841;11859;sea;2875;-1;-1;-1;-1;;Californian Islands
4985;14347;sea;2776;-1;-1;-1;-1;;Djibouti-Cheikh Said
13234;1903;sea;3818;-1;-1;-1;-1;;Nigeria-Fernando Po
13635;2196;sea;5394;-1;-1;-1;-1;;Zanzibar-Tanzania
10201;4416;sea;7479;-1;-1;-1;-1;;Ceylon-Raj
11251;13822;sea;2408;-1;-1;-1;-1;;Danish Islands
13822;13316;sea;2408;-1;-1;-1;-1;;Danish Islands Again
13315;6364;sea;2408;-1;-1;-1;-1;;Danish Islands
13315;3325;sea;2408;-1;-1;-1;-1;;Danish Islands
3374;13316;sea;2408;-1;-1;-1;-1;;Danish Islands
13316;3305;sea;2408;-1;-1;-1;-1;;Denmark
3305;6393;sea;2408;-1;-1;-1;-1;;Denmark
13852;14203;sea;2408;-1;-1;-1;-1;;Germany but for Denmark
13852;3305;sea;2408;-1;-1;-1;-1;;Denmark
13852;13316;sea;2408;-1;-1;-1;-1;;Denmark
13822;317;sea;2408;-1;-1;-1;-1;;Denmark
13314;394;sea;2431;-1;-1;-1;-1;;Denmark
13844;9388;sea;2358;-1;-1;-1;-1;;Rugen
11278;14214;sea;1211;-1;-1;-1;-1;;Aland-Sweden
1570;12499;sea;5340;-1;-1;-1;-1;;Australia
8038;13071;sea;2246;-1;-1;-1;-1;;Canaries
3373;15976;sea;3590;-1;-1;-1;-1;;Scotland(4)
3373;15977;sea;3590;-1;-1;-1;-1;;Scotland(5)
15981;6350;sea;3590;-1;-1;-1;-1;;Scotland(6)
9458;13628;sea;2895;-1;1;-1;1;;Isle of Wight-Hampshire
3083;14211;sea;990;-1;1;-1;1;;Turku
14212;14213;sea;990;-1;1;-1;1;;Åland(1)
14212;9228;sea;990;-1;1;-1;1;;Åland(2)
14213;14214;sea;1211;-1;1;-1;1;;Åland(3)
12278;6610;sea;13155;-1;1;-1;1;;Canada(1)
12582;15496;sea;13155;-1;1;-1;1;;Canada(2)
15494;15397;sea;13155;-1;1;-1;1;;USA(1)
13840;4430;sea;8614;-1;1;-1;1;;Canada(3)
15289;10715;sea;13164;-1;1;-1;1;;Canada(4)
15293;12698;sea;2935;-1;1;-1;1;;Canada(5)
13983;1843;sea;7910;-1;1;-1;1;;USA(2)
13983;13984;sea;6805;-1;1;-1;1;;USA(3)
13818;4476;sea;5700;-1;1;-1;1;;Cuba(1)
13851;7451;sea;7006;-1;1;-1;1;;Cuba(2)
10498;13908;sea;5735;-1;1;-1;1;;Cuba(3)
13899;13855;sea;5735;-1;1;-1;1;;Cuba(4)
5023;14225;sea;5452;-1;1;-1;1;;Ecuador(1)
14224;14225;sea;5452;-1;1;-1;1;;Ecuador(2)
14132;12960;sea;2580;-1;1;-1;1;;Falklands
14242;5209;sea;8866;-1;1;-1;1;;Chile(1)
8218;14238;sea;2532;-1;1;-1;1;;Chile(2)
8198;14237;sea;5473;-1;1;-1;1;;Chile(3)
14239;5159;sea;2508;-1;1;-1;1;;Chile(4)
14246;12954;sea;5424;-1;1;-1;1;;Chile(5)
12349;14236;sea;9009;-1;1;-1;1;;Argentina(1)
5173;13513;sea;8986;-1;1;-1;1;;Argentina(2)
11009;14243;sea;8961;-1;1;-1;1;;Argentina(3)
14255;14256;sea;5150;-1;1;-1;1;;Canada(6)
14254;1869;sea;5150;-1;1;-1;1;;Canada(7)
13202;14228;sea;2970;-1;1;-1;1;;USA(4)
13202;14485;sea;2970;-1;1;-1;1;;USA(5)
14230;15233;sea;2970;-1;1;-1;1;;USA(6)
14229;15232;sea;2970;-1;1;-1;1;;USA(7)
14231;14508;sea;3002;-1;1;-1;1;;USA(8)
14511;14232;sea;8383;-1;1;-1;1;;USA(9)
14250;10157;sea;5257;-1;1;-1;1;;USA(10)
15537;10157;sea;5257;-1;1;-1;1;;USA(11)
15537;15538;sea;5257;-1;1;-1;1;;USA(12)
15539;15538;sea;5257;-1;1;-1;1;;USA(13)
15536;14251;sea;5257;-1;1;-1;1;;Canada(8)
4269;7385;sea;8751;-1;-1;-1;-1;;Fictional Strait for making the Phillippines' name look prettier
-1;-1;;-1;-1;-1;-1;-1;-1
